,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DOW,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,VZ,V,WMT,WBA,DIS,^DJI
2000-01-03,47.1875,45.88031005859375,3.997767925262451,40.1875,24.3125,41.8125,54.03125,28.1875,,39.15625,88.3125,65.1875,116.0,43.5,46.09375,48.58333206176758,39.625,67.625,58.28125,6.015625,31.875,53.59375,19.66645622253418,33.0,6.71875,53.90315628051758,,66.8125,28.5625,29.47168731689453,11357.509765625
2000-01-04,45.3125,44.147945404052734,3.6607143878936768,40.125,24.0,41.8125,51.0,28.21875,,38.40625,82.75,61.75,112.0625,41.46875,44.40625,47.25,38.8125,65.25,56.3125,5.6875,30.6875,52.5625,18.860132217407227,32.5625,6.6328125,52.16072082519531,,64.3125,27.5,31.198062896728516,10997.9296875
2000-01-05,46.625,42.962642669677734,3.7142856121063232,42.625,24.5625,42.5625,50.84375,28.46875,,40.5,78.875,63.0,116.0,41.8125,44.875,46.95833206176758,39.4375,67.8125,56.90625,6.015625,31.1875,51.5625,18.486469268798828,32.3125,6.6171875,53.90315628051758,,63.0,27.8125,32.49284362792969,11122.650390625
2000-01-06,50.375,43.83794021606445,3.392857074737549,43.0625,25.8125,44.375,50.0,28.5,,42.59375,82.25,60.0,114.0,39.375,46.28125,47.625,38.875,68.375,55.0,5.984375,32.3125,53.9375,19.3714599609375,32.9375,6.859375,53.284873962402344,,63.6875,27.0,31.198062896728516,11253.259765625
2000-01-07,51.375,44.47618103027344,3.5535714626312256,44.3125,26.65625,45.15625,52.9375,30.375,,42.46875,82.5625,63.5,113.5,41.0,48.25,48.5,39.875,74.9375,55.71875,5.984375,34.5,58.25,20.138452529907227,34.25,7.6640625,52.89141845703125,,68.5,27.6875,30.70481300354004,11522.5595703125
2000-01-10,51.125,45.09618377685547,3.4910714626312256,43.6875,25.78125,43.9375,54.90625,29.40625,,41.875,84.375,63.1875,118.0,42.875,47.03125,47.66666793823242,40.0625,72.75,56.125,6.0859375,34.4375,57.96875,20.33511734008789,33.625,7.53125,52.610382080078125,,67.25,28.5,35.39068603515625,11572.2001953125
2000-01-11,50.25,45.51559829711914,3.3125,42.875,25.375,43.53125,53.25,30.40625,,42.0,84.8125,61.5625,119.0,44.84375,47.1875,46.54166793823242,41.0,73.0,54.6875,6.390625,34.0,58.875,19.863121032714844,33.25,7.546875,52.11856460571289,,66.25,29.625,35.760623931884766,11511.080078125
2000-01-12,50.375,45.27853775024414,3.1138393878936768,43.0625,25.8125,43.375,51.90625,30.75,,41.75,84.375,61.0625,119.5,45.625,46.75,46.83333206176758,42.75,74.4375,52.90625,6.171875,35.125,58.5,20.31545066833496,33.3125,7.4765625,50.36207580566406,,65.0625,30.25,33.23271942138672,11551.099609375
2000-01-13,50.375,45.51559829711914,3.455357074737549,42.375,26.09375,43.78125,53.09375,30.28125,,42.71875,84.5,62.125,118.25,45.53125,46.6875,47.54166793823242,42.3125,74.75,53.90625,6.25,37.0,57.5,20.531780242919922,34.0,7.7109375,49.96862030029297,,65.125,30.1875,34.342533111572266,11582.4296875
2000-01-14,49.65625,46.53678512573242,3.5870535373687744,44.0,25.96875,43.5,53.78125,30.53125,,41.875,85.625,61.9375,119.625,51.53125,46.84375,49.25,42.609375,74.125,56.125,6.4140625,37.0,58.5,20.079452514648438,34.0,7.703125,50.64311218261719,,64.5,29.4375,33.109405517578125,11722.98046875
2000-01-18,48.5625,44.22088623046875,3.7120535373687744,45.0,24.96875,44.65625,56.0,32.5,,42.375,86.875,60.5,115.75,51.0625,45.65625,47.33333206176758,41.5,70.8125,57.65625,6.328125,36.5,58.46875,19.7451229095459,32.75,7.375,52.83521270751953,,65.5625,29.25,34.03424835205078,11560.7197265625
2000-01-19,49.40625,43.45499801635742,3.8058035373687744,47.625,24.65625,43.96875,56.15625,32.625,,42.78125,87.5625,61.875,119.5,50.03125,45.8125,49.41666793823242,42.375,71.5,53.5,6.6015625,37.0,57.6875,19.09613037109375,32.8125,7.4375,51.8234748840332,,64.0625,30.1875,34.28087615966797,11489.3603515625
2000-01-20,47.5625,44.175296783447266,4.0535712242126465,46.5,23.5625,43.75,56.1875,32.9375,,41.84375,85.9375,60.8125,119.0,47.8125,45.96875,49.375,42.5625,72.9375,53.0,6.4453125,36.390625,56.28125,18.663467407226562,32.625,7.625,51.992095947265625,,63.375,30.1875,33.17106246948242,11351.2998046875
